imdb_score,genres,movie_title,content_rating,title_year,duration
7.9,Action|Adventure|Fantasy|Sci-Fi,Avatar,PG-13,2009,178
7.1,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End,PG-13,2007,169
6.8,Action|Adventure|Thriller,Spectre,PG-13,2015,148
8.5,Action|Thriller,The Dark Knight Rises,PG-13,2012,164
7.1,Documentary,Star Wars: Episode VII - The Force Awakens            ,,,
6.6,Action|Adventure|Sci-Fi,John Carter,PG-13,2012,132
6.2,Action|Adventure|Romance,Spider-Man 3,PG-13,2007,156
7.8,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled,PG,2010,100
7.5,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,PG-13,2015,141
7.5,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince,PG,2009,153
6.9,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,PG-13,2016,183
6.1,Action|Adventure|Sci-Fi,Superman Returns,PG-13,2006,169
6.7,Action|Adventure,Quantum of Solace,PG-13,2008,106
7.3,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006,151
6.5,Action|Adventure|Western,The Lone Ranger,PG-13,2013,150
7.2,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,PG-13,2013,143
6.6,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian,PG,2008,150
8.1,Action|Adventure|Sci-Fi,The Avengers,PG-13,2012,173
6.7,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,PG-13,2011,136
6.8,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3,PG-13,2012,106
7.5,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,PG-13,2014,164
7,Action|Adventure|Fantasy,The Amazing Spider-Man,PG-13,2012,153
6.7,Action|Adventure|Drama|History,Robin Hood,PG-13,2010,156
7.9,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,PG-13,2013,186
6.1,Adventure|Family|Fantasy,The Golden Compass,PG-13,2007,113
7.2,Action|Adventure|Drama|Romance,King Kong,PG-13,2005,201
7.7,Drama|Romance,Titanic,PG-13,1997,194
8.2,Action|Adventure|Sci-Fi,Captain America: Civil War,PG-13,2016,147
5.9,Action|Adventure|Sci-Fi|Thriller,Battleship,PG-13,2012,131
7,Action|Adventure|Sci-Fi|Thriller,Jurassic World,PG-13,2015,124
7.8,Action|Adventure|Thriller,Skyfall,PG-13,2012,143
7.3,Action|Adventure|Fantasy|Romance,Spider-Man 2,PG-13,2004,135
7.2,Action|Adventure|Sci-Fi,Iron Man 3,PG-13,2013,195
6.5,Adventure|Family|Fantasy,Alice in Wonderland,PG,2010,108
6.8,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand,PG-13,2006,104
7.3,Adventure|Animation|Comedy|Family|Fantasy,Monsters University,G,2013,104
6,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen,PG-13,2009,150
5.7,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,PG-13,2014,165
6.4,Adventure|Family|Fantasy,Oz the Great and Powerful,PG,2013,130
6.7,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,PG-13,2014,142
6.8,Action|Adventure|Sci-Fi,TRON: Legacy,PG,2010,125
6.3,Adventure|Animation|Comedy|Family|Sport,Cars 2,G,2011,106
5.6,Action|Adventure|Sci-Fi,Green Lantern,PG-13,2011,123
8.3,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3,G,2010,103
6.6,Action|Adventure|Sci-Fi,Terminator Salvation,PG-13,2009,118
7.2,Action|Crime|Thriller,Furious 7,PG-13,2015,140
7,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z,PG-13,2013,123
8,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,PG-13,2014,149
7.8,Action|Adventure|Sci-Fi,Star Trek Into Darkness,PG-13,2013,132
6.3,Adventure|Fantasy,Jack the Giant Slayer,PG-13,2013,114
7.3,Drama|Romance,The Great Gatsby,PG-13,2013,143
6.6,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time,PG-13,2010,116
7,Action|Adventure|Sci-Fi,Pacific Rim,PG-13,2013,131
6.3,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,PG-13,2011,154
6.2,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008,122
6.8,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur,PG,2015,93
7.2,Adventure|Animation|Comedy|Family|Fantasy,Brave,PG,2012,93
7.5,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond,PG-13,2016,122
8.4,Adventure|Animation|Family|Sci-Fi,WALL·E,G,2008,98
6.2,Action|Comedy|Crime|Thriller,Rush Hour 3,PG-13,2007,91
5.8,Action|Adventure|Sci-Fi,2012,PG-13,2009,158
6.8,Animation|Drama|Family|Fantasy,A Christmas Carol,PG,2009,96
5.4,Action|Adventure|Sci-Fi,Jupiter Ascending,PG-13,2015,127
6.6,Action|Adventure|Drama|Romance,The Legend of Tarzan,PG-13,2016,110
6.9,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005,150
7.3,Action|Adventure|Sci-Fi,X-Men: Apocalypse,PG-13,2016,144
9,Action|Crime|Drama|Thriller,The Dark Knight,PG-13,2008,152
8.3,Adventure|Animation|Comedy|Family,Up,PG,2009,96
6.5,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens,PG,2009,94
7.9,Action|Adventure|Sci-Fi,Iron Man,PG-13,2008,126
7.5,Adventure|Drama|Family|Mystery,Hugo,PG,2011,126
4.8,Action|Comedy|Sci-Fi|Western,Wild Wild West,PG-13,1999,106
5.2,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor,PG-13,2008,112
6.9,Action|Adventure|Comedy|Sci-Fi,Suicide Squad,PG-13,2016,123
5.4,Comedy|Family|Fantasy,Evan Almighty,PG,2007,96
7.9,Action|Adventure|Sci-Fi,Edge of Tomorrow,PG-13,2014,113
6.1,Action|Adventure|Sci-Fi|Thriller,Waterworld,PG-13,1995,176
5.8,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra,PG-13,2009,118
8.3,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out,PG,2015,95
7.8,Adventure|Drama|Family|Fantasy,The Jungle Book,PG,2016,106
7,Action|Adventure|Sci-Fi,Iron Man 2,PG-13,2010,124
6.1,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman,PG-13,2012,132
7,Action|Adventure|Family|Fantasy|Romance,Maleficent,PG,2014,97
7.6,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes,PG-13,2014,130
4.5,Action|Adventure|Romance|Sci-Fi,The Lovers,R,2015,109
6.3,Action|Adventure|Drama|Fantasy,47 Ronin,PG-13,2013,128
7.8,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,PG-13,2014,136
6.4,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After,PG,2010,93
6.5,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland,PG,2015,130
7.9,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6,PG,2014,102
7.8,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph,PG,2012,101
6.6,Adventure|Animation|Family|Fantasy,The Polar Express,G,2004,100
5.5,Action|Adventure|Sci-Fi,Independence Day: Resurgence,PG-13,2016,120
8.2,Adventure|Animation|Family|Fantasy,How to Train Your Dragon,PG,2010,98
6.4,Action|Sci-Fi,Terminator 3: Rise of the Machines,R,2003,109
8.1,Action|Adventure|Sci-Fi,Guardians of the Galaxy,PG-13,2014,121
8.6,Adventure|Drama|Sci-Fi,Interstellar,PG-13,2014,169
8.8,Action|Adventure|Sci-Fi|Thriller,Inception,PG-13,2010,148
8.2,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence,,2016,120
7.9,Adventure|Fantasy,The Hobbit: An Unexpected Journey,PG-13,2012,182
